Nature du contrat;Code de catégorie;Description de la catégorie;Catégorie;Code UNSPSC;Description du code UNSPSC;Description détaillée du code UNSPSC
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132004;Parapentes;Parapentes/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25132005;Avions ultra-légers;Avions ultra-légers/Aéronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25150000;Astronefs;Astronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25151500;Vaisseaux spatiaux;Vaisseaux spatiaux/Astronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25151501;Engins spatiaux habités;Engins spatiaux habités/Astronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25151502;Structures de vaisseau spatial;Structures de vaisseau spatial/Astronefs
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25172702;Systèmes de contrôle de l'environnement pour engin spatial;Systèmes de contrôle de l'environnement pour engin spatial/Composantes et systèmes de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191500;Systèmes et équipement de soutien pour le transport aérien;Systèmes et équipement de soutien pour le transport aérien/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191501;Systèmes de formation sur les services auxiliaires au sol;Systèmes de formation sur les services auxiliaires au sol/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191502;Systèmes de maintenance ou de test des services auxiliaires au sol;Systèmes de maintenance ou de test des services auxiliaires au sol/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191503;Systèmes intégrés d'information sur la maintenance;Systèmes intégrés d'information sur la maintenance/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191504;Simulateurs de vol - aéronef;Simulateurs de vol - aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191505;Matériel de manutention du fret;Matériel de manutention du fret/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191506;Matériel de ravitaillement en carburant;Matériel de ravitaillement en carburant/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191507;Matériel de dégivrage d'aéronef;Matériel de dégivrage d'aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191508;Passerelles mobiles d'embarquement;Passerelles mobiles d'embarquement/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191509;Tracteurs de manoeuvre d'aéronef;Tracteurs de manoeuvre d'aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191510;Groupe de parc pour aéronef;Groupe de parc pour aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191511;Matériel de vidange des toilettes d'aéronef;Matériel de vidange des toilettes d'aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191512;Escaliers intégrés et voitures-passerelles;Escaliers intégrés et voitures-passerelles/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191513;Nécessaires d'entretien pour véhicule de soutien terrestre;Nécessaires d'entretien pour véhicule de soutien terrestre/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191514;Timon d'aéronef;Timon d'aéronef/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191600;Systèmes et équipement de soutien pour le transport spatial;Systèmes et équipement de soutien pour le transport spatial/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191601;Simulateurs de vol - engin spatial;Simulateurs de vol - engin spatial/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191602;Systèmes de livraison de la charge utile d'un engin spatial;Systèmes de livraison de la charge utile d'un engin spatial/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191603;Lanceurs à combustible liquide;Lanceurs à combustible liquide/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191604;Lanceurs à combustible solide;Lanceurs à combustible solide/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25191605;Modules de service d'engin spatial;Modules de service d'engin spatial/Matériel auxiliaire de transport
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25200000;Équipement, systèmes et éléments aérospatiaux;Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201500;Fuselage et éléments d'aéronef;Fuselage et éléments d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201501;Déporteurs d'aéronef;Déporteurs d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201502;Dérives d'aéronef;Dérives d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201503;Stabilisateurs horizontaux d'aéronef;Stabilisateurs horizontaux d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201504;Canards d'aéronef;Canards d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201505;Becs de sécurité d'aéronef;Becs de sécurité d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201506;Volets ou commandes de volets d'aéronef;Volets ou commandes de volets d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201507;Gouvernes de direction d'aéronef;Gouvernes de direction d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201508;Gouvernes de profondeur d'aéronef;Gouvernes de profondeur d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201509;Ailerons d'aéronef;Ailerons d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201510;Hélices d'aéronef;Hélices d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201511;Ailes d'aéronef;Ailes d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201512;Fuselages d'aéronef;Fuselages d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201513;Radomes d'aéronef;Radomes d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201514;Rotors d'aéronef;Rotors d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201515;Soufflantes de sustentation d'aéronef;Soufflantes de sustentation d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201516;Verrières d'aéronef;Verrières d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201517;Aménagement d'aéronef;Aménagement d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201518;Tôles de renfort d'aéronef;Tôles de renfort d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201519;Nervures d'aéronef;Nervures d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201520;Longerons d'aéronef;Longerons d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201800;Systèmes de commande principale d'aéronef;Systèmes de commande principale d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201801;Calculateurs de commandes de vol;Calculateurs de commandes de vol/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201802;Modules de commande d'engin spatial;Modules de commande d'engin spatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201900;Circuits de secours d'aéronef;Circuits de secours d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201901;Systèmes d'extinction incendie ou de détection d'incendie d'aéronef;Systèmes d'extinction incendie ou de détection d'incendie d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201902;Systèmes d'éjection ou d'évacuation d'aéronef;Systèmes d'éjection ou d'évacuation d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201903;Systèmes d'avertissement d'aéronef;Systèmes d'avertissement d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25201904;Parachutes;Parachutes/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202000;Systèmes d'alimentation électrique d'aéronef;Systèmes d'alimentation électrique d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202001;Cellules solaires d'engin spatial;Cellules solaires d'engin spatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202002;Batteries de cellule solaire d'engin spatial;Batteries de cellule solaire d'engin spatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202003;Blocs d'alimentation d'aéronef;Blocs d'alimentation d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202004;Systèmes groupe auxiliaire de bord (APU);Systèmes groupe auxiliaire de bord (APU)/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202100;Instrument de vol;Instrument de vol/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202101;Indicateurs de poste de pilotage - aéronef aérospatial;Indicateurs de poste de pilotage - aéronef aérospatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202102;Jauges de poste de pilotage - aéronef aérospatial;Jauges de poste de pilotage - aéronef aérospatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202103;Panneaux de visualisation de poste de pilotage - aéronef aérospatial;Panneaux de visualisation de poste de pilotage - aéronef aérospatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202104;Panneaux d'interrupteurs de poste de pilotage - aéronef aérospatial;Panneaux d'interrupteurs de poste de pilotage - aéronef aérospatial/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202105;Collimateurs de pilotage (HUD) - aéronef;Collimateurs de pilotage (HUD) - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202200;Systèmes d'atterrissage et de freinage - aéronef;Systèmes d'atterrissage et de freinage - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202201;Systèmes de freinage d'aéronef;Systèmes de freinage d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202202;Parachutes-freins;Parachutes-freins/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202203;Jantes d'aéronef;Jantes d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202204;Trains d'atterrissage;Trains d'atterrissage/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202205;Pneumatiques d'aéronef;Pneumatiques d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202206;Blocs de contrôle antidérapage d'aéronef;Blocs de contrôle antidérapage d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202300;Dispositifs de retenue des occupants d'aéronef;Dispositifs de retenue des occupants d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202301;Ceintures abdominales - aéronef;Ceintures abdominales - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202302;Ceintures-baudriers - aéronef;Ceintures-baudriers - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202400;Réservoirs et systèmes de carburant d'aéronef;Réservoirs et systèmes de carburant d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202401;Réservoirs intérieurs à carburant d'aéronef;Réservoirs intérieurs à carburant d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202402;Réservoirs largables à carburant d'aéronef;Réservoirs largables à carburant d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202403;Réservoirs à propergol;Réservoirs à propergol/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202404;Systèmes de stockage de carburant hybride;Systèmes de stockage de carburant hybride/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202405;Systèmes de gestion de carburant - aéronef;Systèmes de gestion de carburant - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202406;Post-propulseurs;Post-propulseurs/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202500;Équipement - aéronef;Équipement - aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202501;Circuits hydrauliques d'aéronef;Circuits hydrauliques d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202502;Éclairage extérieur d'aéronef;Éclairage extérieur d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202503;Éclairage intérieur d'aéronef;Éclairage intérieur d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202504;Essuie-glaces pour aéronef;Essuie-glaces pour aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202505;Dégivreurs ou désembueurs  pour aéronef;Dégivreurs ou désembueurs  pour aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202506;Portes d'aéronef;Portes d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202507;Hublots d'aéronef;Hublots d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202508;Pare-brises d'aéronef;Pare-brises d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202509;Supports vibratoires d'aéronef;Supports vibratoires d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202510;Collecteur de courant d'aéronef;Collecteur de courant d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202600;Systèmes et éléments de contrôle d'environnement d'aéronef;Systèmes et éléments de contrôle d'environnement d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202601;Contrôleurs - environnementaux;Contrôleurs - environnementaux/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202602;Régulateurs - environnementaux;Régulateurs - environnementaux/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202603;Turbines de réfrigération;Turbines de réfrigération/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202604;Ventilateurs de refroidissement;Ventilateurs de refroidissement/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202605;Échangeurs de chaleur d'aéronef;Échangeurs de chaleur d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202606;Séparateurs d'eau d'aéronef;Séparateurs d'eau d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202607;Systèmes de distribution d'oxygène pour aéronef;Systèmes de distribution d'oxygène pour aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202700;Accumulateurs d'aéronef;Accumulateurs d'aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202701;Accumulateurs hydrauliques pour aéronef;Accumulateurs hydrauliques pour aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;25202702;Accumulateurs pneumatiques pour aéronef;Accumulateurs pneumatiques pour aéronef/Équipement, systèmes et éléments aérospatiaux
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101701;Brûleur de moteur - aéronef;Brûleur de moteur - aéronef/Sources d'énergie
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101702;Compresseur de moteur - aéronef;Compresseur de moteur - aéronef/Sources d'énergie
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101703;Diffuseur de moteur d'avion - aéronef;Diffuseur de moteur d'avion - aéronef/Sources d'énergie
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101704;Supports de moteur;Supports de moteur/Sources d'énergie
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101705;Arbre de transmission, prises de force ou vérins à vis - aéronef;Arbre de transmission, prises de force ou vérins à vis - aéronef/Sources d'énergie
Approvisionnement;G1;Aérospatiale;G1 - Aérospatiale;26101706;Boîte de transmission - aéronef;Boîte de transmission - aéronef/Sources d'énergie
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24130000;Réfrigération industrielle;Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131500;Réfrigérateur industriel;Réfrigérateur industriel/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131501;Combiné réfrigérateur-congélateur;Combiné réfrigérateur-congélateur/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131502;Réfrigérateur à azote liquide;Réfrigérateur à azote liquide/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131503;Réfrigérateur-chambre;Réfrigérateur-chambre/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131504;Conteneur frigorifique;Conteneur frigorifique/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131505;Navire frigorifique;Navire frigorifique/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131506;Réservoir frigorifique;Réservoir frigorifique/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131600;Congélateur industriel;Congélateur industriel/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131601;Congélateur-coffre;Congélateur-coffre/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131602;Congélateur-armoire;Congélateur-armoire/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131603;Congélateur à basse température;Congélateur à basse température/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131604;Appareil de lyophilisation industriel;Appareil de lyophilisation industriel/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131605;Congélateur-chambre;Congélateur-chambre/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131606;Congélateurs à plaques;Congélateurs à plaques/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131607;Congélateurs à air pulsé;Congélateurs à air pulsé/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131900;Générateur de glace;Générateur de glace/Réfrigération industrielle
Approvisionnement;G2;Matériel de climatisation et de réfrigération;G2 - Matériel de climatisation et de réfrigération;24131901;Générateur de glaçons;Générateur de glaçons/Réfrigération industrielle
